City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,biak,-0.9131,122.8766,27.53,69,100,0.91,ID,1675043203
253,los llanos de aridane,28.6585,-17.9182,12.86,77,75,3.6,ES,1675043203
254,cherskiy,68.75,161.3,-16.99,89,100,2.71,RU,1675043204
255,luang prabang,19.8856,102.1347,11.98,82,3,0.0,LA,1675043204
256,north bend,43.4065,-124.2243,5.95,65,0,4.63,US,1675043205
257,ca mau,9.1769,105.15,24.62,55,73,4.25,VN,1675043205
258,bethel,41.3712,-73.414,8.06,69,100,2.06,US,1675043205
259,vao,-22.6667,167.4833,25.05,72,13,4.06,NC,1675043206
260,zhigansk,66.7697,123.3711,-43.74,98,85,3.13,RU,1675043207
261,brockville,44.5834,-75.6826,-7.38,98,88,0.59,CA,1675043006
262,breytovo,58.2993,37.8617,-6.92,94,93,5.11,RU,1675043208
263,alta floresta,-9.8756,-56.0861,20.95,98,29,0.43,BR,1675043208
264,udachnyy,66.4167,112.4,-37.53,73,98,1.03,RU,1675043209
265,cody,44.5263,-109.0565,-23.22,76,0,2.57,US,1675043209
266,cusco,-13.5183,-71.9781,11.13,76,75,1.54,PE,1675043210
267,mehran,33.1222,46.1646,13.27,64,100,4.82,IR,1675043210
268,nanfeng,23.7434,111.7959,12.87,30,3,0.97,CN,1675043210
269,paracuru,-3.41,-39.0306,27.28,87,3,3.91,BR,1675043211
270,terra nova,-12.3667,-40.6667,18.89,81,0,1.18,BR,1675043211
271,itoman,26.1247,127.6694,16.01,50,75,6.69,JP,1675043212
272,havre-saint-pierre,50.2334,-63.5986,-13.0,66,100,6.69,CA,1675043213
273,bengkulu,-3.8004,102.2655,26.83,75,100,1.79,ID,1675043213
274,demyansk,57.643,32.466,-1.56,90,100,5.13,RU,1675043214
275,yuzhno-kurilsk,44.0306,145.8556,-4.57,54,36,2.76,RU,1675043214
276,mayya,61.7333,130.2811,-45.94,97,79,0.68,RU,1675043215
277,lebu,-37.6167,-73.65,16.21,93,50,6.81,CL,1675043215
278,bataipora,-22.2953,-53.2711,23.04,88,77,1.51,BR,1675043216
279,zhangye,38.9342,100.4517,-4.18,31,0,1.0,CN,1675043216
280,wasilla,61.5814,-149.4394,0.75,88,100,5.14,US,1675043217
281,hun,29.1268,15.9477,6.89,37,0,0.99,LY,1675043217
282,altay,47.8667,88.1167,-15.96,66,0,2.76,CN,1675043218
283,todos santos,23.45,-110.2167,19.25,73,46,2.1,MX,1675043218
284,pangnirtung,66.1451,-65.7125,-35.0,68,0,0.0,CA,1675043219
285,salalah,17.0151,54.0924,18.05,39,0,4.12,OM,1675043219
286,sechura,-5.5569,-80.8222,23.66,68,6,5.81,PE,1675043220
287,dalvik,65.9702,-18.5286,-2.04,90,97,2.68,IS,1675043220
288,ponta do sol,32.6667,-17.1,14.28,62,70,3.26,PT,1675043221
289,riyadh,24.6877,46.7219,12.08,45,4,2.33,SA,1675042997
290,puerto varas,-41.3195,-72.9854,17.12,94,100,2.57,CL,1675043148
291,havoysund,70.9963,24.6622,-0.87,95,100,3.93,NO,1675043222
292,mercedes,-34.6515,-59.4307,22.58,68,0,4.09,AR,1675043223
293,jaru,-10.4389,-62.4664,21.41,98,82,1.3,BR,1675043223
294,hambantota,6.1241,81.1185,21.19,100,75,0.51,LK,1675043224
295,north augusta,33.5018,-81.9651,9.78,98,100,2.06,US,1675043179
296,boshnyakovo,49.6333,142.1667,-17.4,69,1,1.18,RU,1675043225
297,yeppoon,-23.1333,150.7333,30.88,64,68,4.19,AU,1675043226
298,yar-sale,66.8333,70.8333,-20.75,95,100,4.41,RU,1675043226
299,tessalit,20.1986,1.0114,11.53,12,37,3.77,ML,1675043227
300,puro,12.4841,123.3827,25.15,90,100,6.59,PH,1675043228
301,faanui,-16.4833,-151.75,27.68,71,16,5.12,PF,1675043229
302,ixtapa,20.7,-105.2,20.13,85,1,0.7,MX,1675043230
303,pitogo,13.7847,122.0881,24.68,81,100,7.14,PH,1675043231
304,half moon bay,37.4636,-122.4286,9.37,81,100,7.72,US,1675043086
